QPS,Recall
508.766,0.99932
616.638,0.99919
665.887,0.9991
726.521,0.99902
801.342,0.99888
897.385,0.99875
1022.76,0.99854
1197.17,0.99837
1453.47,0.99802
1869.46,0.99742
2192.47,0.99702
2653.7,0.99619
2903.05,0.99559
3207.71,0.99532
3577.45,0.99432
4064.35,0.99317
4704.52,0.99089
5108.91,0.9889
5596.85,0.98666
6195.93,0.98287
6924.97,0.97963
7393.55,0.97617
7910.84,0.97396
8519.81,0.96756
9223.17,0.96196
10085.4,0.95428
11136.1,0.94371
12501.2,0.92931
14217.5,0.90581
16752.5,0.8648
17288.6,0.8531
